id,type,title,year,genres,official_rating,synopsis,fiche_url,gold_age,gold_violence,gold_sexNudity,gold_language,gold_substanceUse,gold_consumerism,gold_positiveMessages,gold_roleModels,notes
132ccbe7-d917-4152-9b45-732494044cdf,GAME,007 First Light,2026,Tir; Aventure,PEGI_16,"Jeu d'espionnage narratif suivant un jeune James Bond en formation MI6, découvrant ses débuts de recrue astucieuse et parfois imprudente, confronté à missions d'entraînement et premières opérations qui forgeront son identité d'agent.",https://totemavise.com/media/132ccbe7-d917-4152-9b45-732494044cdf,,,,,,,,,
f8580691-1875-469a-8840-0fe3cfed83fa,GAME,12 Party Games Collection,2025,Arcade,PEGI_7,"12 Party Games Collection propose une série de mini-jeux d'arcade pensés pour animer les réunions familiales. Chaque jeu favorise une dynamique joyeuse et compétitive, permettant aux joueurs de tout âge de participer. Conçu pour le multijoueur, il renforce les liens familiaux à travers des défis amu",https://totemavise.com/media/f8580691-1875-469a-8840-0fe3cfed83fa,,,,,,,,,
91c8d5c4-aef4-4ecd-b7ee-e54a2fc91a74,GAME,Animal Crossing: New Horizons - Happy Home Paradise,2021,Simulation,PEGI_3,"Dans ce DLC d'Animal Crossing, vous rejoignez une équipe qui conçoit des maisons de vacances pour des clients sur des îles. Vous discutez avec chaque client pour connaître ses souhaits puis aménagez et décorez des logements à thèmes.",https://totemavise.com/media/91c8d5c4-aef4-4ecd-b7ee-e54a2fc91a74,,,,,,,,,
038248bd-1ded-4378-9581-3f7083e94778,GAME,Ascendance Unbound,2025,Plateforme; Aventure,PEGI_3,"Vous incarnez un explorateur qui grimpe vers le ciel dans Ascendance, un monde paisible aux paysages artistiques rempli d'énigmes légères et de secrets à découvrir ; le gameplay privilégie la plateforme douce et l'exploration plutôt que le combat.",https://totemavise.com/media/038248bd-1ded-4378-9581-3f7083e94778,,,,,,,,,
4e2cfc63-a0d1-4f77-9917-33eec14b08ef,GAME,Baba Is You,2019,Puzzle; Stratégie; Indé,PEGI_3,"Baba Is You est un jeu de réflexion où le joueur déplace des blocs de mots pour modifier les règles d’un niveau. En changeant la syntaxe, on transforme objets et interactions pour résoudre des énigmes créatives.",https://totemavise.com/media/4e2cfc63-a0d1-4f77-9917-33eec14b08ef,,,,,,,,,
efe752b6-0296-48b5-be99-ecb902f14c91,GAME,BioShock 2 Remastered,2016,Tir; RPG,PEGI_18,"Dans la cité sous-marine déchue de Rapture, vous incarnez un prototype de protecteur déterminé à retrouver sa fille adoptive. Le jeu mêle exploration, combats intenses et dilemmes moraux dans un univers sombre sans compromis.",https://totemavise.com/media/efe752b6-0296-48b5-be99-ecb902f14c91,,,,,,,,,
9ec5f2aa-1590-4875-95b5-1fd48e826d54,GAME,Blue Prince,2025,Puzzle; Stratégie; Aventure; Indé,PEGI_3,"Dans le jeu Blue Prince, le joueur incarne un explorateur à Mt. Holly, où les couloirs mystérieux changent chaque matin. Ces espaces en constante évolution offrent de nouveaux défis sous la forme de puzzles stratégiques. Le but est de naviguer à travers ces défis pour découvrir les secrets cachés de",https://totemavise.com/media/9ec5f2aa-1590-4875-95b5-1fd48e826d54,,,,,,,,,
b39bcf07-4b9f-45ad-b790-041573d95e7b,GAME,Bully,2006,Aventure,PEGI_16,"Vous incarnez Jimmy Hopkins, un nouvel élève envoyé à la Bullworth Academy, où il doit naviguer entre intimidateurs, professeurs et factions scolaires. Le jeu suit ses tentatives pour s'imposer, protéger certains camarades et survivre aux règles d'une école corrompue.",https://totemavise.com/media/b39bcf07-4b9f-45ad-b790-041573d95e7b,,,,,,,,,
28d6864c-2647-4331-8d05-9f2532de1a2d,GAME,Dadish 4,2025,Plateforme; Aventure; Indé,PEGI_3,"Dadish 4 conserve le style de plateforme emblématique de la série tout en introduisant de nouvelles mécaniques. Les joueurs naviguent dans des environnements 3D avec des capacités améliorées, comme les sauts doubles et les attaques de dash, tout en résolvant des énigmes stratégiques.",https://totemavise.com/media/28d6864c-2647-4331-8d05-9f2532de1a2d,,,,,,,,,
a289cf2d-013f-4220-9484-5e56c77435b2,GAME,Danganronpa 2: Goodbye Despair,2012,Aventure; Visual novel,PEGI_16,"Hajime Hinata, nouvel étudiant, se réveille sur une île mystérieuse avec ses camarades, isolés du monde extérieur. Un ours mécanique nommé Monokuma lance un jeu mortel qui force les élèves à enquêter sur des meurtres pour tenter de s'en sortir.",https://totemavise.com/media/a289cf2d-013f-4220-9484-5e56c77435b2,,,,,,,,,
24eb7020-03e4-49fd-97fe-16b8b642963c,GAME,Dawn of Discovery: Venice,2010,Stratégie temps réel; Simulation; Stratégie,PEGI_7,"Dawn of Discovery: Venice est un add-on de stratégie et simulation où le joueur construit un empire commercial dans la Venise historique. À travers scénarios et missions, il gère routes, diplomatie et économie pour prospérer.",https://totemavise.com/media/24eb7020-03e4-49fd-97fe-16b8b642963c,,,,,,,,,
81123a3d-619c-4133-9355-d99a6afbd8a8,GAME,Dead Rising,2006,Action; Aventure,PEGI_18,"Frank West, photojournaliste indépendant, arrive dans une petite ville pour un scoop et découvre une invasion de zombies. Coincé dans un centre commercial, il doit survivre en improvisant des armes et enquêter sur l'origine de l'épidémie.",https://totemavise.com/media/81123a3d-619c-4133-9355-d99a6afbd8a8,,,,,,,,,
